name,team,gradClass,position,height,weight,highSchool,homeTown_city,homeTown_state
Juan Carlos Alvarez,American University,So,GK,6'3,,,McAllen, Texas
Dominic Dominguez,American University,Sr,GK,5'11,,Atlantic Coast,Jacksonville, Fla.
Jonah Fogel,American University,Jr,D,5'10,,Shattuck-St. Mary's,Brooklyn, N.Y.
Rex-Emmanuel Cobbina,American University,Fr,D,5'10,,York Mills Collegiate Institute,Toronto, Ontario
Cooper Nunn,American University,Gr,D,6'0,,Gleeson College,Adelaide, Australia
Nicholas Shirley,American University,Sr,D,6'0,,Northwest,Germantown, Md.
Taku Takahashi,American University,Sr,D,5'9,,Sendai,Miyagi, Japan
Miles Lam,American University,Sr,M,5'10,,Mount St. Joseph's,Linthicum, Md.
Tim Schliemann,American University,Jr,M,5'10,,,Berlin, Germany
Sam Hershey,American University,Sr,F,6'3,,McCaskey,Lancaster, Pa.
Dilane Zouantcha,American University,Sr,F,5'8,,Northwest,Yaounde, Cameroon
Zemi Rodriguez,American University,Sr,M,5'9,,St. Benedict's Prep,Goshen, N.Y.
Moad Ezzahir,American University,Fr,M,5'11,,John R. Lewis,Springfield, Va.
Ian Webb-Johnson,American University,So,D,6'3,,TECCA Connections Academy,Westwood, Mass.
Kobe Keomany,American University,Fr,M,5'9,,McDonogh School,White Marsh, Md.
Sebastian Garces,American University,Jr,M,5'9,,Freedom,Bethlehem, Pa.
Reyes Parra,American University,So,M,5'7,,Shattuck-St. Mary's,Round Lake, Ill.
Leo Palomo,American University,Sr,M,6'0,,Northwest,Boyds, Md.
Colin O'Brien,American University,Fr,F,6'1,,St. Peter's Prep,Hoboken, N.J.
Mustapha Sowe,American University,Sr,F,5'10,,Harrison,East Newark, N.J.
Jared Weber,American University,So,M,5'9,,Justice,Falls Church, Va.
Toshi Davis,American University,Jr,M,5'8,,Towson,Baltimore, Md.
Ethan Boyle,American University,Gr,M,6'2,,Denver East,Denver, Colo.
Owen Edsell,American University,So,D,6'1,,Montclair,Montclair, N.J.
Chris Sullivan,American University,Fr,M,5'6,,Southampton,Southampton, N.Y.
Oliver Snowdon,American University,Fr,M,5'8,,Shattuck-St. Mary's,Lorton, Va.
Javi Gonzalez,American University,Fr,M,5'9,,Maspeth,Woodside, N.Y.
Patryk Rojek,American University,Fr,F,5'11,,Taft,Chicago, Ill.
Troy Elgersma,American University,Jr,M,6'3,,Redlands,Redlands, Calif.
Matthew Tibbetts,American University,Jr,GK,6'2,,K12 Private Academy,Westborough, Mass.
Peter Van Euwen,Bellarmine University,Gr,Goalkeeper,5'11,180,St. Ignatius,Avon Lake, OH
Tudor Iordan,Bellarmine University,Jr,Goalkeeper,6'3,175,College Bois-de-Boulogne,Laval, Quebec
Cade Morgan,Bellarmine University,R-Jr,Midfielder,5'10,165,Lakota West,West Chester, OH
Michael Voulgaris,Bellarmine University,So,Defender,6'0,160,Oshkosh West,Van Dyne, WI
Alex Halevy,Bellarmine University,R-Jr,Forward,6'2,170,Garces Memorial,Bakersfield, CA
Brendan Schoemehl,Bellarmine University,Gr,Midfielder,6'1,182,De Smet Jesuit,St. Louis, MO
Johan Nissen-Lie,Bellarmine University,So,Forward,6'3,176,Donski Videregaende Skole,Asker, Norway
Tate McCrery,Bellarmine University,R-Jr,Midfielder,6'2,165,Ballard,Louisville, KY
Sawyer Gribble,Bellarmine University,So,Defender,6'4,190,Woodford County,Versailles, KY
Bennett Kirn,Bellarmine University,R-Jr,Defender,6'2,190,Lexington Catholic,Lexington, KY
Luke Gonda,Bellarmine University,So,Midfielder,6'0,155,Schaumburg,Schaumburg, IL
Jeffrey Cox,Bellarmine University,R-Jr,Defender,6'2,190,St. Xavier,Louisville, KY
Rhys Davies,Bellarmine University,Sr,Defender,6'1,175,Auckland Grammar School,Waipu, New Zealand
