name,link,template
Adrian College,https://adrianbulldogs.com/sports/mens-soccer/roster,1.0
Albertus Magnus College,https://www.albertusfalcons.com/sports/msoc/2024-25/roster,6.0
Albion College,https://gobrits.com/sports/mens-soccer/roster,1.0
Albright College,https://albrightathletics.com/sports/mens-soccer/roster,1.0
Alfred State College,https://alfredstateathletics.com/sports/mens-soccer/roster,1.0
Alfred University,https://gosaxons.com/sports/mens-soccer/roster,1.0
Allegheny College,https://alleghenygators.com/sports/mens-soccer/roster,1.0
Alma College,https://almascots.com/sports/mens-soccer/roster,1.0
Alvernia University,https://auwolves.com/sports/mens-soccer/roster,1.0
Amherst College,https://athletics.amherst.edu/sports/mens-soccer/roster,1.0
Anderson University – Indiana,https://athletics.anderson.edu/sports/msoc/2024-25/roster,6.0
Anna Maria College,https://www.goamcats.com/sports/msoc/2024-25/roster,6.0
Arcadia University,https://arcadiaknights.com/sports/mens-soccer/roster,1.0
Asbury University,https://asburyeagles.com/sports/mens-soccer/roster,1.0
Augsburg University,https://athletics.augsburg.edu/sports/mens-soccer/roster,1.0
Augustana College – Illinois,https://athletics.augustana.edu/sports/mens-soccer/roster,3.0
Aurora University,https://athletics.aurora.edu/sports/mens-soccer/roster,1.0
Austin College,https://acroos.com/sports/msoc/2024-25/roster,6.0
Averett University,https://averettcougars.com/sports/mens-soccer/roster,1.0
Babson College,https://babsonathletics.com/sports/mens-soccer/roster,1.0
Baldwin Wallace University,https://bwyellowjackets.com/sports/mens-soccer/roster,1.0
Bard College,https://bardathletics.com/sports/mens-soccer/roster,1.0
Bates College,https://gobatesbobcats.com/sports/mens-soccer/roster,1.0
Belhaven University,https://blazers.belhaven.edu/sports/mens-soccer/roster,1.0
Beloit College,https://beloitcollegeathletics.com/sports/mens-soccer/roster,1.0
Benedictine University,https://benueagles.com/sports/mens-soccer/roster,1.0
Berea College,https://bereaathletics.com/sports/mens-soccer/roster,1.0
Berry College,https://www.berryvikings.com/sports/mens-soccer/roster,1.0
Bethany College – West Virginia,https://www.bethanybison.com/sports/msoc/2024-25/roster,6.0
Bethany Lutheran College,https://blcvikings.com/sports/mens-soccer/roster,1.0
Bethel University – Minnesota,https://athletics.bethel.edu/sports/mens-soccer/roster,1.0
Blackburn College,https://www.blackburnbeavers.com/sports/msoc/2024-25/roster,6.0
Bluffton University,https://blufftonbeavers.com/sports/msoc/2024-25/roster,6.0
Bob Jones University,https://www.bjubruins.com/sports/mens-soccer/roster,1.0
Bowdoin College,https://athletics.bowdoin.edu/sports/mens-soccer/roster,1.0
Brandeis University,https://brandeisjudges.com/sports/mens-soccer/roster,1.0
Brevard College,https://bctornados.com/sports/mens-soccer/roster,1.0
Bridgewater College,https://bridgewatereagles.com/sports/mens-soccer/roster,1.0
Bridgewater State University,https://www.bsubears.com/sports/msoc/2024-25/roster,6.0
Bryn Athyn College,https://brynathynathletics.com/sports/mens-soccer/roster,1.0
Buena Vista University,https://bvuathletics.com/sports/mens-soccer/roster,1.0
Cairn University,https://www.cairnhighlanders.com/sports/mens-soccer/roster,1.0
California Institute of Technology,https://gocaltech.com/sports/mens-soccer/roster,1.0
California Lutheran University,https://clusports.com/sports/mens-soccer/roster,1.0
Calvin University,https://calvinknights.com/sports/mens-soccer/roster,1.0
Capital University,https://athletics.capital.edu/sports/mens-soccer/roster,1.0
Carleton College,https://athletics.carleton.edu/sports/mens-soccer/roster,1.0
Carlow University,https://athletics.carlow.edu/sports/msoc/2024-25/roster,6.0
Carnegie Mellon University,https://athletics.cmu.edu/sports/msoc/2024-25/roster,6.0
Carroll University,https://gopios.com/sports/mens-soccer/roster,3.0
Carthage College,https://athletics.carthage.edu/sports/mens-soccer/roster,1.0
Case Western Reserve University,https://athletics.case.edu/sports/mens-soccer/roster,1.0
Catholic University of America,https://catholicathletics.com/sports/mens-soccer/roster,1.0
Centenary College of Louisiana,https://www.gocentenary.com/sports/msoc/2024-25/roster,6.0
Centenary University – New Jersey,https://centenarycyclones.com/sports/mens-soccer/roster,1.0
Central College,https://athletics.central.edu/sports/mens-soccer/roster,1.0
Centre College,https://centrecolonels.com/sports/mens-soccer/roster,1.0
Chapman University,https://athletics.chapman.edu/sports/mens-soccer/roster,1.0
Chatham University,https://gochathamcougars.com/sports/mens-soccer/roster,1.0
Christopher Newport University,https://www.cnusports.com/sports/mens-soccer/roster/,1.0
Claremont-Mudd-Scripps Colleges,https://cmsathletics.org/sports/mens-soccer/roster,1.0
Clark University,https://clarkathletics.com/sports/mens-soccer/roster,1.0
Clarks Summit University,https://gocsudefenders.com/,
Clarkson University,https://clarksonathletics.com/sports/mens-soccer/roster,1.0
Coe College,https://kohawkathletics.com/sports/mens-soccer/roster,1.0
Colby College,https://colbyathletics.com/sports/mens-soccer/roster,1.0
Colby-Sawyer College,https://www.colby-sawyerathletics.com/sports/mens-soccer/roster,1.0
College of Wooster,https://www.woosterathletics.com/sports/msoc/2024-25/roster,6.0
Colorado College,https://cctigers.com/sports/mens-soccer/roster,1.0
Concordia College – Minnesota,https://gocobbers.com/sports/msoc/2024-25/roster,6.0
Concordia University – Chicago,https://www.cucougars.com/sports/mens-soccer/roster,1.0
Concordia University – Texas,https://athletics.concordia.edu/sports/mens-soccer/roster,1.0
Concordia University Wisconsin,https://www.cuwfalcons.com/sports/msoc/2024-25/roster,6.0
Connecticut College,https://camelathletics.com/sports/mens-soccer/roster,1.0
Cornell College,https://cornellrams.com/sports/mens-soccer/roster,1.0
Covenant College,https://athletics.covenant.edu/sports/mens-soccer/roster,1.0
Crown College,https://athletics.crown.edu/sports/mens-soccer/roster,1.0
Curry College,https://www.curryathletics.com/sports/msoc/2024-25/roster,6.0
Dean College,https://deanbulldogs.com/sports/mens-soccer/roster,1.0
Delaware Valley University,https://athletics.delval.edu/sports/mens-soccer/roster,1.0
Denison University,https://denisonbigred.com/sports/mens-soccer/roster,1.0
DePauw University,https://depauwtigers.com/sports/mens-soccer/roster,1.0
DeSales University,https://athletics.desales.edu/sports/mens-soccer/roster,1.0
Dickinson College,https://dickinsonathletics.com/sports/msoc/roster,1.0
Dominican University – Illinois,https://dustars.com/sports/mens-soccer/roster/2024,
Drew University,https://drewrangers.com/sports/mens-soccer/roster,1.0
Earlham College,https://goearlham.com/sports/mens-soccer/roster,1.0
East Texas Baptist University,https://goetbutigers.com/sports/mens-soccer/roster,1.0
Eastern Connecticut State University,https://gowarriorathletics.com/sports/mens-soccer/roster,1.0
Eastern Mennonite University,https://emuroyals.com/sports/mens-soccer/roster,1.0
Eastern Nazarene College,https://athletics.enc.edu/sports/msoc/2023-24/roster,6.0
Eastern University,https://goeasterneagles.com/sports/mens-soccer/roster,1.0
Edgewood College,https://edgewoodcollegeeagles.com/sports/mens-soccer/roster,1.0
Elizabethtown College,https://etownbluejays.com/sports/mens-soccer/roster,1.0
Elmhurst University,https://elmhurstbluejays.com/sports/mens-soccer/roster,1.0
Elmira College,https://athletics.elmira.edu/sports/mens-soccer/roster,1.0
Elms College,https://www.ecblazers.com/sports/msoc/2024-25/roster,6.0
Emerson College,https://emersonlions.com/sports/mens-soccer/roster,1.0
Emmanuel College – Massachusetts,https://goecsaints.com/sports/mens-soccer/roster,1.0
Emory University,https://emoryathletics.com/sports/mens-soccer/roster,1.0
Endicott College,https://www.ecgulls.com/sports/msoc/2024-25/roster,6.0
Eureka College,https://www.eurekareddevils.com/sports/msoc/2024-25/roster,6.0
Fairleigh Dickinson University – College at Florham,https://fdudevils.com/sports/mens-soccer/roster,1.0
Ferrum College,https://ferrumpanthers.com/sports/mens-soccer/roster/2024,1.0
Fitchburg State University,https://www.fitchburgfalcons.com/sports/msoc/2024-25/roster,6.0
Framingham State University,https://www.fsurams.com/sports/msoc/2024-25/roster,6.0
Franciscan University of Steubenville,https://franciscanathletics.com/sports/mens-soccer/roster,1.0
Franklin & Marshall College,https://godiplomats.com/sports/mens-soccer/roster,1.0
Franklin College,https://franklingrizzlies.com/sports/mens-soccer/roster,
Gallaudet University,https://gallaudetbison.com/sports/mens-soccer/roster,1.0
Geneva College,https://athletics.geneva.edu/sports/mens-soccer/roster,1.0
George Fox University,https://athletics.georgefox.edu/sports/mens-soccer/roster,1.0
Gettysburg College,https://gettysburgsports.com/sports/mens-soccer/roster,1.0
Gordon College,https://athletics.gordon.edu/sports/mens-soccer/roster,1.0
Goucher College,https://athletics.goucher.edu/sports/msoc/2024-25/roster,6.0
Grace Christian University,https://gracetigers.com/sports/mens-soccer/roster/2024,1.0
Greensboro College,https://greensborocollegesports.com/sports/mens-soccer/roster,1.0
Greenville University,https://athletics.greenville.edu/sports/msoc/2024-25/roster,6.0
Grinnell College,https://pioneers.grinnell.edu/sports/mens-soccer/roster,3.0
Grove City College,https://athletics.gcc.edu/sports/mens-soccer/roster,1.0
Guilford College,https://guilfordquakers.com/sports/mens-soccer/roster,1.0
Gustavus Adolphus College,https://gogusties.com/sports/mens-soccer/roster,1.0
Gwynedd Mercy University,https://gwyneddathletics.com/sports/mens-soccer/roster,1.0
Hamilton College,https://athletics.hamilton.edu/sports/mens-soccer/roster,1.0
Hamline University,https://hamlineathletics.com/sports/mens-soccer/roster,1.0
Hampden-Sydney College,https://hscathletics.com/sports/mens-soccer/roster,1.0
Hanover College,https://athletics.hanover.edu/sports/mens-soccer/roster,1.0
Hardin-Simmons University,https://hsuathletics.com/sports/mens-soccer/roster,1.0
Hartwick College,https://www.hartwickhawks.com/sports/mens-soccer/roster,1.0
Haverford College,https://www.haverfordathletics.com/sports/msoc/2024-25/roster,6.0
Heidelberg University,https://bergathletics.com/sports/mens-soccer/roster,1.0
Hendrix College,https://hendrixwarriors.com/sports/mens-soccer/roster,1.0
Hilbert College,https://hilberthawks.com/sports/mens-soccer/roster,1.0
Hiram College,https://hiramterriers.com/sports/mens-soccer/roster,1.0
Hobart & William Smith College,https://hwsathletics.com/sports/mens-soccer/roster,1.0
Hood College,https://hoodathletics.com/sports/mens-soccer/roster,1.0
Hope College,https://athletics.hope.edu/sports/mens-soccer/roster/2024,
Houghton University,https://athletics.houghton.edu/sports/mens-soccer/roster,1.0
Howard Payne University,https://hpusports.com/sports/mens-soccer/roster,1.0
Huntingdon College,https://www.huntingdonhawks.com/sports/msoc/2024-25/roster,6.0
Husson University,https://hussoneagles.com/sports/mens-soccer/roster,1.0
Illinois College,https://illinoiscollegeathletics.com/sports/mens-soccer/roster,1.0
Illinois Institute of Technology,https://illinoistechathletics.com/sports/mens-soccer/roster,1.0
Illinois Wesleyan University,https://www.iwusports.com/sports/mens-soccer/roster,1.0
Immaculata University,https://gomightymacs.com/sports/mens-soccer/roster,1.0
Ithaca College,https://athletics.ithaca.edu/sports/mens-soccer/roster,1.0
John Carroll University,https://jcusports.com/sports/mens-soccer/roster,1.0
Johns Hopkins University,https://hopkinssports.com/sports/mens-soccer/roster,1.0
Johnson & Wales University – Charlotte,https://charlotte.jwuathletics.com/sports/mens-soccer/roster,1.0
Johnson & Wales University – Providence,https://providence.jwuathletics.com/sports/mens-soccer/roster,1.0
Juniata College,https://www.juniatasports.net/sports/msoc/2024-25/roster,6.0
Kalamazoo College,https://hornets.kzoo.edu/sports/mens-soccer/roster,1.0
Kean University,https://keanathletics.com/sports/mens-soccer/roster,1.0
Keene State College,https://keeneowls.com/sports/mens-soccer/roster,1.0
Kenyon College,https://athletics.kenyon.edu/sports/mens-soccer/roster,1.0
Keuka College,https://keukaathletics.com/sports/mens-soccer/roster,1.0
Keystone College,https://www.gokcgiants.com/sports/mens-soccer/roster,1.0
King's College – Pennsylvania,https://kingscollegeathletics.com/sports/mens-soccer/roster,1.0
Knox College,https://prairiefire.knox.edu/sports/mens-soccer/roster/2024,
La Roche University,https://www.larochesports.com/sports/msoc/2024-25/roster,6.0
LaGrange College,https://lagrangepanthers.com/sports/mens-soccer/roster,1.0
Lake Forest College,https://goforesters.com/sports/mens-soccer/roster,1.0
Lakeland University,https://lakelandmuskies.com/sports/mens-soccer/roster,3.0
Lancaster Bible College,https://lbcchargers.com/sports/mens-soccer/roster,1.0
Lasell University,https://laserpride.lasell.edu/sports/msoc/2024-25/roster,6.0
Lawrence University,https://vikings.lawrence.edu/sports/msoc/roster,1.0
Lebanon Valley College,https://godutchmen.com/sports/mens-soccer/roster,1.0
Lesley University,https://lesleyathletics.com/sports/msoc/2024-25/roster,6.0
LeTourneau University,https://letuathletics.com/sports/mens-soccer/roster,1.0
Lewis & Clark College,https://lcpioneers.com/sports/mens-soccer/roster,1.0
Linfield University,https://golinfieldwildcats.com/sports/mens-soccer/roster,1.0
Loras College,https://duhawks.com/sports/mens-soccer/roster,1.0
Luther College,https://luthernorse.com/sports/mens-soccer/roster,1.0
Lycoming College,https://lycomingathletics.com/sports/mens-soccer/roster,1.0
Lyon College,https://lyonscots.com/sports/mens-soccer/roster,1.0
Macalester College,https://athletics.macalester.edu/sports/mens-soccer/roster,1.0
Maine Maritime Academy,https://marinersports.org/sports/mens-soccer/roster,1.0
Manchester University,https://muspartans.com/sports/mens-soccer/roster,1.0
Manhattan Christian College,https://mccthunder.com/sports/mens-soccer/roster,
Manhattanville College,https://govaliants.com/sports/mens-soccer/roster,1.0
Maranatha Baptist University,https://mbusabercats.com/sports/mens-soccer/roster,1.0
Marian University – Wisconsin,https://sabreathletics.com/sports/mens-soccer/roster,1.0
Marietta College,https://pioneers.marietta.edu/sports/mens-soccer/roster,1.0
Martin Luther College,https://mlcknights.com/sports/mens-soccer/roster,1.0
Mary Baldwin University,https://marybaldwinathletics.com/sports/mens-soccer/roster,1.0
Marymount University (VA),https://marymountsaints.com/sports/mens-soccer/roster,1.0
Maryville College,https://mcscots.com/sports/mens-soccer/roster,1.0
Marywood University,https://marywoodpacers.com/sports/mens-soccer/roster,1.0
Massachusetts College of Liberal Arts,https://athletics.mcla.edu/sports/msoc/2024-25/roster,6.0
Massachusetts Institute of Technology – MIT,https://mitathletics.com/sports/mens-soccer/roster,1.0
Massachusetts Maritime Academy,https://www.mmabucs.com/sports/msoc/2024-25/roster,6.0
McDaniel College,https://mcdanielathletics.com/sports/mens-soccer/roster,1.0
McMurry University,https://mcmurrysports.com/sports/mens-soccer/roster,1.0
Messiah University,https://gomessiah.com/sports/mens-soccer/roster,1.0
Methodist University,https://mumonarchs.com/sports/mens-soccer/roster,1.0
Middlebury College,https://athletics.middlebury.edu/sports/msoc/roster,1.0
Millikin University,https://athletics.millikin.edu/sports/mens-soccer/roster,1.0
Millsaps College,https://gomajors.com/sports/msoc/roster,1.0
Milwaukee School of Engineering,https://msoeraiders.com/sports/mens-soccer/roster,1.0
Misericordia University,https://athletics.misericordia.edu/sports/mens-soccer/roster,1.0
Mitchell College,https://www.mitchellathletics.com/sports/msoc/2024-25/roster,6.0
Monmouth College,https://monmouthscots.com/sports/mens-soccer/roster,1.0
Montclair State University,https://montclairathletics.com/sports/mens-soccer/roster,1.0
Moravian University,https://www.moraviansports.com/sports/msoc/2024-25/roster,6.0
Mount Aloysius College,https://mountieathletics.com/sports/mens-soccer/roster,1.0
Mount Saint Mary College – New York,https://msmcknights.com/sports/mens-soccer/roster,1.0
Mount St. Joseph University,https://msjlions.com/sports/mens-soccer/roster,1.0
Muhlenberg College,https://muhlenbergsports.com/sports/mens-soccer/roster,1.0
Muskingum University,https://www.fightingmuskies.com/sports/msoc/2024-25/roster,6.0
Nazareth University,https://nazathletics.com/sports/mens-soccer/roster,1.0
Nebraska Wesleyan University,https://nwusports.com/sports/mens-soccer/roster,1.0
Neumann University,https://www.neumannathletics.com/sports/mens-soccer/roster,1.0
New England College,https://athletics.nec.edu/sports/mens-soccer/roster,1.0
New Jersey City University,https://njcugothicknights.com/sports/mens-soccer/roster,1.0
New York University,https://gonyuathletics.com/sports/mens-soccer/roster,1.0
Nichols College,https://nicholsathletics.com/sports/mens-soccer/roster,1.0
North Carolina Wesleyan College,https://ncwsports.com/sports/mens-soccer/roster,1.0
North Central College,https://northcentralcardinals.com/sports/mens-soccer/roster,1.0
North Central University,https://ncurams.com/sports/mens-soccer/roster,1.0
North Park University,https://athletics.northpark.edu/sports/mens-soccer/roster,1.0
Northland College,https://northlandcollegesports.com/sports/mens-soccer/roster,1.0
Norwich University,https://norwichathletics.com/sports/mens-soccer/roster,1.0
Notre Dame of Maryland University,https://notredamegators.com/sports/mens-soccer/roster,1.0
Oberlin College,https://goyeo.com/sports/mens-soccer/roster,1.0
